epoch,train_loss,val_loss
1,1.1098,0.8175
2,0.7330,0.7022
3,0.6307,0.6436
4,0.5696,0.6129
5,0.5242,0.5956
6,0.4869,0.5771
7,0.4550,0.5720
8,0.4254,0.5657
9,0.3984,0.5658
10,0.3728,0.5650
11,0.3494,0.5709
12,0.3280,0.5734
13,0.3080,0.5793
14,0.2898,0.5881
15,0.2737,0.5973
16,0.2586,0.6056
17,0.2451,0.6113
18,0.2332,0.6228
19,0.2225,0.6252
20,0.2125,0.6387
21,0.2039,0.6397
22,0.1964,0.6483
23,0.1894,0.6466
24,0.1832,0.6508
25,0.1775,0.6598
26,0.1719,0.6606
27,0.1671,0.6632
28,0.1626,0.6783
29,0.1580,0.6730
30,0.1547,0.6796
