epoch,train,val,train_c,val_c,train_a,val_a,train_z,val_z
8,2.3509,4.5240,2.1217,4.2919,0.0017,0.0021,0.2291,0.2319
9,2.1461,4.6763,1.9177,4.4457,0.0016,0.0021,0.2282,0.2303
10,2.0085,4.8706,1.7810,4.6403,0.0015,0.0021,0.2274,0.2301
11,2.9496,4.0143,2.7145,3.7768,0.0020,0.0022,0.2349,0.2373
12,2.9460,4.0386,2.7078,3.7977,0.0020,0.0022,0.2380,0.2407
13,2.8727,4.1210,2.6335,3.8783,0.0019,0.0022,0.2390,0.2424
14,2.7625,4.1983,2.5230,3.9552,0.0019,0.0022,0.2393,0.2429
15,2.6583,4.1888,2.4185,3.9463,0.0019,0.0022,0.2397,0.2423
16,2.5666,4.2535,2.3268,4.0119,0.0018,0.0022,0.2396,0.2414
17,2.4540,4.4514,2.2153,4.2082,0.0018,0.0022,0.2386,0.2430
18,nan,4.5186,2.1196,4.2791,0.0018,0.0022,nan,0.2393
19,nan,4.5071,2.0578,4.2659,0.0018,0.0021,nan,0.2410
20,nan,4.5755,1.9345,4.3351,0.0018,0.0021,nan,0.2402
21,nan,4.5784,1.8353,4.3199,0.0017,0.0021,nan,0.2583
22,nan,nan,nan,nan,0.0002,0.0000,nan,nan
23,nan,nan,nan,nan,0.0000,0.0000,nan,nan
24,nan,nan,nan,nan,0.0000,0.0000,nan,nan
25,nan,nan,nan,nan,0.0000,0.0000,nan,nan
26,nan,nan,nan,nan,0.0000,0.0000,nan,nan
27,nan,nan,nan,nan,0.0000,0.0000,nan,nan
28,nan,nan,nan,nan,0.0000,0.0000,nan,nan
29,nan,nan,nan,nan,0.0000,0.0000,nan,nan
30,nan,nan,nan,nan,0.0000,0.0000,nan,nan
