adata,radius,resolution
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/SPTCR/UKF275/UKF275.h5ad,200,high
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/SpatialVDJ/TumE2/TumE2.h5ad,200,high
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/SpatialVDJ/TumA1/TumA1.h5ad,200,high
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Spatial_TCR_Visium/p16/p16.h5ad,200,high
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancer/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanColorectalCancerTargeted/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancerWholeTranscriptome/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanColorectalCancerWholeTranscriptome/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancerFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/NormalHumanProstateFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerA1/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanLungCancer/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerDuctalCarcinoma/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancerAdenocarcinomaFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerA2/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancer1A/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancerTargeted/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancer2A/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanGlioblastoma/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanLungCancerFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/InvasiveDuctalCarcinoma/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancer/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanOvarianCancerTargetedPanCancer/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancer/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanIntestineCancerFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanKidneyFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanColorectalCancerFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanMelanomaFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerWholeTranscriptome/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanLymphNode/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanGlioblastomaTargeted/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanCervicalCancerFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanBreastCancerTargeted/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancerAcinarFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/Visium/HumanProstateCancerFFPE/T_cell.h5ad,200,low
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/VisiumHD/HumanLungCancer/T_cell.h5ad,50,high
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/VisiumHD/HumanColorectalCancer/T_cell.h5ad,50,high
/project/DPDS/Wang_lab/shared/spatial_TCR/data/train_validate/VisiumHD/HumanPancreas/T_cell.h5ad,50,high
/archive/DPDS/Xiao_lab/shared/jia_yao/Image2Transcript/data/Xenium/breast_cancer/outs/cell_feature_matrix.h5ad
